40. ARIZONA STATE UNIVERSITY,http://www.asu.edu/
88. AUBURN UNIVERSITY,http://www.auburn.edu/
59. BOSTON UNIVERSITY,http://www.bu.edu/
79. BRANDEIS UNIVERSITY,http://www.brandeis.edu/
26. BROWN UNIVERSITY,http://www.brown.edu/
63. CALIFORNIA INSTITUTE OF TECHNOLOGY,http://www.caltech.edu/
4. CARNEGIE MELLON UNIVERSITY,http://www.cmu.edu/
96. CASE WESTERN RESERVE UNIVERSITY,http://www.cwru.edu/
80. CITY UNIVERSITY OF NEW YORK, GRADUATE SCHOOL AND UNIVERSITY CENTER",http://www.gc.cuny.edu/
93. COLLEGE OF WILLIAM AND MARY,http://www.wm.edu/
20. COLUMBIA UNIVERSITY,http://www.columbia.edu/
7. CORNELL UNIVERSITY,http://www.cornell.edu/
73. DARTMOUTH COLLEGE,http://www.dartmouth.edu/
22. DUKE UNIVERSITY,http://www.duke.edu/
57. FLORIDA INSTITUTE OF TECHNOLOGY,http://www.fit.edu/
85. FLORIDA INTERNATIONAL UNIVERSITY,http://www.fiu.edu/
64. FLORIDA STATE UNIVERSITY,http://www.fsu.edu/
97. GEORGE WASHINGTON UNIVERSITY,http://www.gwu.edu/
12. GEORGIA INSTITUTE OF TECHNOLOGY,http://www.gatech.edu/
55. GEORGIA STATE UNIVERSITY,http://www.gsu.edu/
9. HARVARD UNIVERSITY,http://www.harvard.edu/
87. ILLINOIS INSTITUTE OF TECHNOLOGY,http://www.iit.edu/
48. INDIANA UNIVERSITY AT BLOOMINGTON,http://www.iub.edu/
60. IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,http://www.iastate.edu/
76. JOHNS HOPKINS UNIVERSITY,http://www.jhu.edu/
81. KENT STATE UNIVERSITY,http://www.kent.edu/
53. LEHIGH UNIVERVSITY,http://www.lehigh.edu/
29. LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COLLEGE,http://www.lsu.edu/
2. MASSACHUSETTS INSTITUTE OF TECHNOLOGY,http://www.mit.edu/
19. MICHIGAN STATE UNIVERSITY,http://www.msu.edu/
90. NEW JERSEY INSTITUTE OF TECHNOLOGY,http://www.njit.edu/
49. NEW YORK UNIVERSITY,http://www.nyu.edu/
56. NORTH CAROLINA STATE UNIVERSITY,http://www.ncsu.edu/
62. NORTHEASTERN UNIVERSITY,http://www.neu.edu/
54. NORTHWESTERN UNIVERSITY,http://www.nwu.edu/
32. OHIO STATE UNIVERSITY,http://www.ohio-state.edu/
68. OREGON STATE UNIVERSITY,http://www.orst.edu/
31. PENNSYLVANIA STATE UNIVERSITY,http://www.psu.edu/
3. PRINCETON UNIVERSITY,http://www.princeton.edu/
28. PURDUE UNIVERSITY,http://www.purdue.edu/
69. RENSSELAER POLYTECHNIC INSTITUTE,http://www.rpi.edu/
47. RICE UNIVERSITY,http://www.rice.edu/
70. RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",http://www.rutgers.edu/
1. STANFORD UNIVERSITY,http://www.stanford.edu/
